 TITLE="SURFACE DATA."
 variables="z","Theta","P","U","V","W","T","M"
 ZONE T="POST", I=     1, J=   200, K=   120
 0.000000000D+00  0.300416722D+01  0.579521963D+01 -0.460629135D+00 -0.216840434D-18 -0.433680869D-18  0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.305000338D+01  0.581369475D+01 -0.460232973D+00  0.216840434D-18  0.867361738D-18  0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.309580527D+01  0.583166950D+01 -0.459810495D+00  0.216840434D-18  0.000000000D+00  0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.314159265D+01  0.584916851D+01 -0.459340721D+00 -0.433680869D-18 -0.867361738D-18 -0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.318738004D+01  0.586621480D+01 -0.458806157D+00  0.000000000D+00  0.433680869D-18 -0.433680869D-18  0.100000000D+01
 0.000000000D+00  0.323318193D+01  0.588282989D+01 -0.458192706D+00  0.000000000D+00 -0.433680869D-18  0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.327901808D+01  0.589903391D+01 -0.457489431D+00  0.433680869D-18  0.433680869D-18 -0.433680869D-18  0.100000000D+01
 0.000000000D+00  0.332491531D+01  0.591484573D+01 -0.456688345D+00 -0.867361738D-18  0.000000000D+00  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.337090801D+01  0.593028299D+01 -0.455783993D+00  0.000000000D+00  0.173472348D-17  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.341703841D+01  0.594536219D+01 -0.454773247D+00 -0.433680869D-18  0.867361738D-18  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.346335668D+01  0.596009888D+01 -0.453655213D+00  0.433680869D-18  0.000000000D+00  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.350992736D+01  0.597450755D+01 -0.452430844D+00  0.000000000D+00  0.000000000D+00  0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.355682804D+01  0.598860187D+01 -0.451101810D+00 -0.433680869D-18 -0.867361738D-18 -0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.360413846D+01  0.600239447D+01 -0.449676692D+00  0.867361738D-18 -0.867361738D-18  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.365193851D+01  0.601589706D+01 -0.448171318D+00  0.433680869D-18 -0.867361738D-18  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.370030591D+01  0.602912059D+01 -0.446572721D+00  0.000000000D+00  0.867361738D-18  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.374931526D+01  0.604207535D+01 -0.444879979D+00 -0.433680869D-18  0.867361738D-18  0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.379903660D+01  0.605477116D+01 -0.443116188D+00  0.000000000D+00 -0.867361738D-18  0.433680869D-18  0.100000000D+01
 0.000000000D+00  0.384954043D+01  0.606721722D+01 -0.441287607D+00  0.000000000D+00  0.000000000D+00  0.000000000D+00  0.100000000D+01
 0.000000000D+00  0.390089583D+01  0.607942228D+01 -0.439401776D+00 -0.433680869D-18  0.867361738D-18 -0.216840434D-18  0.100000000D+01
 0.000000000D+00  0.395315963D+01  0.609139464D+01 -0.437467128D+00 -0.433680869D-18  0.000000000D+00  0.216840434D-18  0.100000000D+01
